iter	Passed	Remaining
0	6	3373
1	14	3721
2	20	3431
3	28	3509
4	33	3348
5	40	3299
6	47	3351
7	55	3395
8	71	3881
9	81	4002
10	87	3890
11	100	4092
12	106	3997
13	113	3929
14	118	3842
15	126	3813
16	131	3732
17	136	3654
18	143	3628
19	148	3563
20	153	3499
21	160	3480
22	166	3451
23	173	3448
24	179	3417
25	185	3383
26	192	3378
27	198	3348
28	205	3345
29	212	3327
30	222	3362
31	240	3514
32	245	3476
33	253	3479
34	260	3455
35	269	3479
36	299	3744
37	308	3755
38	315	3730
39	323	3717
40	329	3693
41	337	3679
42	342	3644
43	349	3624
44	357	3610
45	363	3588
46	371	3581
47	377	3558
48	386	3561
49	393	3538
50	400	3523
51	405	3496
52	419	3534
53	433	3579
54	451	3655
55	464	3685
56	475	3698
57	501	3823
58	514	3842
59	525	3853
60	560	4033
61	572	4041
62	588	4081
63	605	4123
64	616	4126
65	622	4095
66	629	4069
67	638	4053
68	663	4143
69	672	4133
70	683	4131
71	690	4107
72	698	4087
73	705	4063
74	712	4035
75	720	4019
76	728	3999
77	734	3972
78	741	3950
79	747	3923
80	753	3897
81	759	3873
82	766	3848
83	773	3829
84	780	3809
85	787	3790
86	796	3781
87	801	3754
88	809	3739
89	815	3713
90	824	3707
91	830	3684
92	838	3668
93	844	3649
94	852	3635
95	861	3625
96	870	3615
97	877	3598
98	887	3596
99	897	3591
100	906	3582
101	915	3571
102	923	3561
103	930	3543
104	937	3525
105	943	3508
106	951	3493
107	957	3475
108	965	3462
109	971	3443
110	976	3423
111	983	3406
112	989	3389
113	997	3375
114	1004	3363
115	1011	3349
116	1017	3331
117	1023	3312
118	1030	3299
119	1037	3286
120	1044	3270
121	1050	3254
122	1055	3235
123	1062	3221
124	1067	3203
125	1072	3184
126	1081	3175
127	1086	3158
128	1094	3146
129	1100	3131
130	1106	3115
131	1111	3099
132	1117	3083
133	1123	3069
134	1129	3052
135	1134	3035
136	1141	3024
137	1146	3008
138	1152	2993
139	1158	2979
140	1163	2963
141	1171	2953
142	1176	2937
143	1182	2922
144	1187	2907
145	1192	2892
146	1198	2877
147	1204	2863
148	1209	2848
149	1214	2834
150	1220	2820
151	1225	2806
152	1230	2791
153	1236	2778
154	1242	2765
155	1248	2752
156	1255	2743
157	1261	2730
158	1268	2719
159	1274	2707
160	1279	2694
161	1286	2683
162	1292	2671
163	1297	2658
164	1307	2654
165	1315	2646
166	1321	2635
167	1327	2623
168	1335	2615
169	1341	2603
170	1349	2596
171	1357	2587
172	1363	2577
173	1370	2567
174	1375	2555
175	1385	2550
176	1392	2541
177	1401	2535
178	1409	2526
179	1419	2523
180	1428	2517
181	1438	2513
182	1448	2508
183	1455	2499
184	1462	2490
185	1470	2482
186	1479	2476
187	1487	2467
188	1494	2458
189	1501	2449
190	1511	2445
191	1519	2436
192	1525	2426
193	1531	2415
194	1536	2403
195	1543	2393
196	1548	2381
197	1553	2369
198	1559	2359
199	1565	2347
200	1570	2335
201	1577	2327
202	1583	2316
203	1590	2307
204	1595	2295
205	1600	2284
206	1607	2274
207	1612	2263
208	1618	2253
209	1626	2245
210	1631	2234
211	1638	2225
212	1643	2214
213	1649	2204
214	1655	2194
215	1661	2184
216	1666	2173
217	1672	2163
218	1678	2153
219	1683	2143
220	1689	2133
221	1696	2124
222	1702	2115
223	1708	2105
224	1713	2094
225	1720	2085
226	1727	2078
227	1734	2068
228	1740	2059
229	1745	2049
230	1752	2040
231	1758	2031
232	1763	2020
233	1770	2012
234	1775	2001
235	1782	1993
236	1787	1983
237	1793	1974
238	1800	1965
239	1805	1956
240	1811	1947
241	1818	1938
242	1823	1928
243	1831	1921
244	1836	1911
245	1842	1902
246	1849	1894
247	1855	1885
248	1862	1877
249	1868	1868
250	1875	1860
251	1883	1853
252	1895	1850
253	1904	1844
254	1911	1836
255	1920	1830
256	1927	1822
257	1936	1816
258	1947	1811
259	1953	1802
260	1961	1796
261	1967	1787
262	1975	1780
263	1982	1772
264	1989	1763
265	1996	1756
266	2002	1747
267	2010	1740
268	2016	1731
269	2023	1723
270	2030	1715
271	2038	1708
272	2045	1700
273	2051	1692
274	2060	1685
275	2067	1677
276	2076	1671
277	2082	1663
278	2090	1655
279	2096	1647
280	2104	1640
281	2113	1633
282	2121	1626
283	2131	1621
284	2141	1615
285	2148	1607
286	2159	1602
287	2174	1600
288	2183	1594
289	2193	1588
290	2202	1581
291	2210	1574
292	2219	1568
293	2227	1561
294	2238	1555
295	2246	1548
296	2255	1541
297	2265	1535
298	2274	1528
299	2284	1523
300	2292	1515
301	2301	1509
302	2310	1502
303	2318	1495
304	2329	1489
305	2336	1481
306	2343	1473
307	2351	1465
308	2356	1456
309	2364	1449
310	2370	1440
311	2377	1432
312	2384	1424
313	2389	1415
314	2396	1407
315	2402	1399
316	2410	1391
317	2416	1383
318	2422	1374
319	2431	1367
320	2441	1361
321	2448	1353
322	2454	1345
323	2460	1336
324	2466	1328
325	2475	1321
326	2480	1312
327	2487	1304
